"Month,Date",Temperature (F),Dew Point (F),Humidity (%),Wind Speed (mph),Pressure (in),Precipitation (in)
"03,09",39.1,21.5,51.5,6.8,30.3,0
"03,10",37.7,33.9,87,13.8,30.1,0.3
"03,11",46.7,28,52.4,14.6,30,0.36
"03,12",38.3,18.2,44.6,17.7,30.2,0
"03,13",38.2,21.3,51.5,8.3,30.3,0
"03,14",47.2,33.8,60.6,10.5,30.2,0
"03,15",56.5,48,74.3,11.8,29.8,0
"03,16",48,25.1,41.4,18.4,29.9,0.27
"03,17",38.4,12.3,35,13.6,30.1,0
"03,18",38.8,13.4,36.1,7.6,30.3,0
"03,19",41.8,19.3,42.5,7.2,30.4,0
"03,20",43.9,25.4,51.2,10,30.3,0
"03,21",42,37.1,83,14.1,30,0
"03,22",43.1,36.5,79.8,22.2,29.4,1.16
"03,23",40.5,19.4,45,22.9,29.8,0.06
"03,24",49.2,12.5,24.1,11.9,30.1,0
"03,25",50.9,25.7,38.5,9.3,30,0
"03,26",41.2,4.3,22.3,12.6,30.2,0
"03,27",38.9,12.9,35.3,10.3,30.5,0
"03,28",43.1,27.8,55.6,9.9,30.4,0
"03,29",52.9,39.3,60.4,7.3,30.1,0
"03,30",54.7,42,63.8,11.6,30,0
"03,31",50.9,40.9,69.3,15.1,29.7,0
"04,01",39.8,15.4,38.4,16.4,30.2,0.08
"04,02",43.6,23,45.7,10.3,30.3,0
"04,03",51.2,27.4,49.7,17.5,30,0
"04,04",50.7,16.8,26.6,14.3,30.3,0
"04,05",40,23,55.9,10.8,30.4,0
"04,06",48.2,39,74.2,7.1,30.2,0.23
"04,07",55.4,40,57.8,7.7,30.2,0
"04,08",57.3,49.4,77.4,11.8,29.8,0.25
"04,09",45.9,42.1,87,9.1,29.7,0
"04,10",51.1,31.2,49.2,12.7,29.8,0.02
"04,11",45.1,21.3,39.6,7.3,30.2,0
"04,12",53.1,42,68.1,11.8,30.2,0
"04,13",63.6,56.2,78.2,9.5,30,0.76
"04,14",60.7,57,88.1,9.4,29.8,0
"04,15",55.1,46.9,76,18.5,29.4,0.6
"04,16",52.7,22.5,32.9,18.6,29.9,0.18
"04,17",52.5,30.8,46.1,8.5,30.1,0.01
"04,18",55.4,44.1,67,11.6,30,0
"04,19",62.7,56.3,80.6,13.3,29.8,0
"04,20",59.6,56.9,91,15.7,29.7,0.33
"04,21",56.7,48,73.8,9.4,30,0.35
"04,22",55.1,49.7,82.3,8.5,30,0
"04,23",62.4,49.1,63.9,8.3,29.9,0.29
"04,24",63.4,41.8,46.6,12.5,29.7,0.11
"04,25",54.5,40.3,59.6,8.4,29.9,0
"04,26",53.5,50.2,88.6,12.9,29.6,0.21
"04,27",53.3,34.1,51.1,17.7,29.5,1.01
"04,28",49.6,37.2,62.4,11,30,0
"04,29",50.2,29.1,46.4,9.8,30.3,0
"04,30",50.4,46.4,86.5,6.9,30.2,0.07
"05,01",50.9,44.8,80.7,8.1,30.3,0
"05,02",54.9,50,84.8,7.7,30.1,0.01
"05,03",50,47.6,91.8,8.8,30.1,0
"05,04",54.7,52.7,93.4,4.5,29.9,0.18
"05,05",51.5,50.8,97.5,12.6,29.8,0.65
"05,06",55.3,46.6,74.4,10.6,29.9,0.69
"05,07",57.5,49.3,74.5,9.3,30.1,0
"05,08",59.3,47.2,66,7.8,30.2,0.06
"05,09",55.4,42.6,63.6,11.8,30.3,0
"05,10",63.8,56.1,76.8,9.6,30,0.01
"05,11",63.1,46.3,56.5,9.4,30,0.04
"05,12",49,44.5,84.7,18.2,29.9,0.42
"05,13",46.6,42.5,85.7,12.2,29.8,0.81
"05,14",47.1,42.6,84.5,7.9,29.8,0.58
"05,15",55.5,41.8,63.4,10.6,29.8,0.21
"05,16",64.1,45.3,53.2,7.4,29.8,0.1
"05,17",70.4,52.3,53.6,9.8,29.8,0
"05,18",64.5,42.7,46.2,9.6,29.9,0.03
"05,19",67.4,57.5,70.7,10.7,30,0
"05,20",76.7,59.7,59.6,13.1,29.8,0.03
"05,21",64.5,38.5,39.7,18.5,29.9,0
"05,22",66.3,35.8,33.8,10.5,30.2,0
"05,23",66.6,53.6,64.9,9.2,30,0.36
"05,24",69.6,51.8,54,17.9,29.9,0.12
"05,25",63.2,48,58.6,12.3,30.1,0
"05,26",73.8,59,62.3,8.3,29.9,0
"05,27",73.8,50.4,45.2,8.5,29.9,0.25
"05,28",67.4,58.6,73.8,9.1,29.8,0
"05,29",59.6,55,84.9,8.4,29.7,0.19
"05,30",61.5,57.5,86.7,6.1,29.7,0.83
"05,31",70.5,58.7,69.6,7,29.7,0.8
"06,01",69.8,56,63,7.5,29.8,0
"06,02",70.1,59.6,72,9.4,29.7,0
"06,03",65.6,39.3,40.1,13,29.9,0.39
"06,04",65.4,38,37.2,9.3,30,0
"06,05",72.9,57.5,59.7,10.5,29.8,0
"06,06",76.2,62.9,65.5,9,29.7,0.05
"06,07",71,58.8,66.4,8.1,29.9,0
"06,08",70.8,50.8,52.7,9.5,30.1,0
"06,09",67.5,48,52.9,11.5,30.3,0
"06,10",63.8,60,87.7,12.3,30,0
"06,11",69.6,56.2,68,12.3,29.9,1.15
"06,12",67.4,46.4,47.8,10.5,30.1,0
"06,13",62.3,54.2,75,12.2,29.8,0
"06,14",66.1,49.8,60.6,12.1,29.9,0.65
"06,15",74.2,47,39.2,11.7,30,0
"06,16",75.4,61.7,63.1,9.5,29.8,0.03
"06,17",72.9,63.4,72.3,6.3,29.9,0
"06,18",70.2,66.4,87.8,7.2,29.9,0.1
"06,19",67.3,64.6,91.2,6.8,29.8,0.53
"06,20",69.9,67.9,93.5,7.8,29.5,0.09
"06,21",69.7,60,74.7,11.6,29.5,1.27
"06,22",72.3,48.5,44.3,15.1,29.9,0.15
"06,23",76.6,50.1,40.5,10.7,29.9,0
"06,24",78,55.4,47.5,7.7,29.8,0
"06,25",76.4,69,78.7,6,29.8,0.39
"06,26",78.5,62.2,62.9,6.2,30,0.03
"06,27",82.1,57.6,45.5,6.8,30.1,0
"06,28",82.6,56.6,41.8,5.3,30.1,0
"06,29",82.3,64.5,56.4,8.5,29.9,0
"06,30",77.5,58.6,53.8,14.1,29.8,0.04
"07,01",77.6,54.1,45.8,9.5,29.9,0.02
"07,02",81,60.2,49.5,6.8,29.8,0
"07,03",81.3,65.4,58.8,6.5,29.8,0.01
"07,04",80.8,64,60.2,8.2,30,0
"07,05",78.8,69.5,73.4,7.7,30.1,0
"07,06",83,71.3,68.5,9.5,29.9,0
"07,07",78.6,64.8,63.2,9.3,29.9,0
"07,08",74.6,60.2,62.2,5.2,29.9,0
"07,09",80.7,60.7,53.2,5.8,30,0.02
"07,10",83.2,64.1,53.5,5.8,30,0
"07,11",78.5,68.6,73.7,10.3,29.8,0
"07,12",78.9,65.8,66.7,9.2,29.7,0.72
"07,13",80.3,61.7,54,9.8,29.9,0
"07,14",84.3,58.9,42.6,11.3,29.9,0
"07,15",80.4,55.3,42.9,7.8,30,0
"07,16",83.6,61,47.7,8.8,30,0
"07,17",83.7,70.8,66.8,11.1,29.9,0
"07,18",75,70.9,86.9,9.7,29.9,2.69
"07,19",80.5,70.2,72.2,8.4,29.9,0.3
"07,20",91.5,70.5,51.1,10.1,29.8,0
"07,21",91.1,70.5,51.6,10,29.8,0
"07,22",80.7,70,71.2,8.1,29.8,0.01
"07,23",71.8,65.1,79.8,8.6,29.8,1.76
"07,24",76.5,61.1,61.8,6.2,29.9,0.02
"07,25",78.5,58.2,51.4,6.1,30.1,0
"07,26",79.8,59.3,51.5,6.6,30.2,0
"07,27",80.3,62.9,55.7,9.1,30.2,0
"07,28",84.3,62.6,50,9.7,30.1,0
"07,29",86.1,63.8,47.9,7.8,30,0
"07,30",86.8,67.6,53.2,9.4,29.9,0
"07,31",79.3,66.6,66.2,6.6,30,0
"08,01",80.2,59.1,52.1,6.5,30,0.58
"08,02",78.4,61.8,58.2,8.7,30.1,0
"08,03",79.7,66.5,65,9.8,30,0
"08,04",78.8,64.1,63,5.8,29.9,0.12
"08,05",76.1,58.8,56,9.4,29.9,0
"08,06",75.3,67.6,77.3,8.3,29.9,0
"08,07",77.2,69,76.2,9.9,29.8,0
"08,08",77.2,64.2,66.7,8.2,29.7,0.62
"08,09",78.3,58.9,52.6,9,29.7,0.1
"08,10",76.1,51.5,42.9,12.2,29.8,0
"08,11",75.6,51,42.8,7.2,30,0
"08,12",80.2,55.6,43.9,8,29.9,0
"08,13",77.8,67,69.4,7.7,29.8,0.01
"08,14",75.9,68.2,77.5,8.8,29.8,0.01
"08,15",75.7,64.2,68.9,8.3,30,0
"08,16",75.2,65.4,71.8,7.9,30,0
"08,17",76.9,70.2,80.2,8.5,30,0
"08,18",80.2,71.2,75.1,7.6,30,0.16
"08,19",83,68.6,62.4,8.6,29.9,0.43
"08,20",81.7,64.7,57.5,8,30,0
"08,21",81.8,70.8,70.2,8.4,29.9,0
"08,22",80.7,67.7,66.6,10,29.8,0.35
"08,23",72.6,61.5,69.3,7.4,29.9,1.18
"08,24",70.7,51,50.8,8.6,30.1,0.06
"08,25",70.5,55.4,59.6,16.1,30.2,0
"08,26",67,53.9,63.2,11.5,30.2,0
"08,27",69.4,56,62.7,7.1,30.1,0
"08,28",71.3,65.7,82.4,8.4,29.9,0
"08,29",75.7,56.2,53.1,11.7,29.9,0.1
"08,30",79.6,56.5,45.8,9.2,30,0
"08,31",75.8,53.8,47.3,8.5,30.2,0
"09,01",71.6,56.1,58.5,9.6,30.3,0
"09,02",73.8,65.9,76.5,9.2,30,0
"09,03",74.8,59.8,61.2,8.5,30,0.51
"09,04",78.1,65.3,65.9,10,29.9,0
"09,05",69.9,54.9,59.1,9.2,30,0
"09,06",65.1,56.7,74.4,16.7,29.9,0
"09,07",67.5,52.4,60.6,12.4,29.8,0.03
"09,08",72,55,56,7.5,30,0
"09,09",70.8,58.1,64.4,10.6,30.2,0
"09,10",72.1,63.8,75.7,8.8,30.3,0
"09,11",78.9,66,65.7,10.1,30.1,0
"09,12",73.8,64.8,74,12,30.1,0
"09,13",65,50.4,60.3,11.4,30.4,0.07
"09,14",70.8,59.5,67.6,9.9,30.2,0
"09,15",76.1,60,60.3,5.7,30.1,0
"09,16",73.4,59.6,62.1,6.1,30,0
"09,17",70,45.5,43.5,9.1,30.1,0
"09,18",63.9,49.1,59.6,11,30.2,0
"09,19",62,40.3,47.8,7.8,30.3,0
"09,20",70.3,44.3,41.5,8,30.2,0
"09,21",73.5,54.3,53.2,3.9,30.2,0
"09,22",77.2,59.7,55.4,7.4,30.1,0
"09,23",80.8,63.4,56.7,11,29.8,0
"09,24",72.2,52.9,51.3,13.6,29.8,0.03
"09,25",70.5,50.8,51.1,7.6,29.9,0
"09,26",71.6,58,62.8,9.7,29.8,0
"09,27",68.7,50.3,54,7.9,30.1,0
"09,28",73.4,61.8,67.8,9,30.1,0
"09,29",74,55.9,55,9.4,30.2,0
"09,30",65.4,49.7,57.1,12.1,30.3,0
"10,01",72.7,58.9,62.1,10.2,30,0
"10,02",79.2,65.6,64.7,10.2,29.8,0
"10,03",58.3,54.4,86.8,13.7,30.1,0.32
"10,04",60.3,48.9,68.3,12.7,30,0.12
"10,05",53.6,35.9,52.3,9.5,30.4,0
"10,06",65.9,55,68.1,10.7,30.3,0
"10,07",70.7,60.5,71,12,30.1,0.01
"10,08",61.5,50.8,69,11.4,30.2,0.06
"10,09",56.6,47.2,71.4,16.2,30.2,0
"10,10",60.4,40.7,51.8,15.8,30.2,0.54
"10,11",60.2,40.1,47.8,15.9,30.1,0
"10,12",61,47,60.5,7.5,29.9,0
"10,13",61,45.6,58.4,8.3,30,0
"10,14",64.3,49.5,62,7.4,29.9,0
"10,15",59.4,39.4,49.5,7,30.1,0
"10,16",62.1,54.2,75.8,15.8,29.6,0
"10,17",55.7,40.6,57.6,23.5,29.3,1.71
"10,18",54,38.8,56.5,20.1,29.8,0
"10,19",53.4,36.2,53,6.3,30,0
"10,20",55.5,48.1,76.7,8.1,30,0
"10,21",57.5,47,69.9,9.6,30,0.37
"10,22",58.6,53.2,83,10.7,30,0
"10,23",61.5,46.3,63.4,13.1,29.9,0.51
"10,24",59.3,34,39.5,8.1,30.3,0
"10,25",59.4,47.2,64.5,5.6,30.2,0
"10,26",59.6,43,55,7.7,30.2,0
"10,27",61.7,57.4,85.8,13,29.9,0.03
"10,28",58.8,49.1,70.9,9.9,30.1,1.38
"10,29",55.7,53.5,92.4,8.6,30.3,0
"10,30",58.5,58,98.1,8.2,30.2,0.1
"10,31",63,62.2,97,13.4,29.9,0.3
"11,01",52.4,37,58.1,19.5,29.9,0.2
"11,02",45.3,31.5,58.8,7.3,30.1,0
"11,03",47.8,28.8,48,12,30.1,0
"11,04",49.7,29.9,47.3,8.5,30.3,0
"11,05",56.6,44.2,64.5,7.4,30.2,0
"11,06",51.8,28.7,42.8,10.5,30.3,0
"11,07",51.8,35.8,56.1,9.9,30.1,0
"11,08",38.2,22.2,54.1,17.9,30.1,0.08
"11,09",35.6,17.3,48.3,8.2,30.3,0
"11,10",46,24.5,43.1,8.2,30.1,0
"11,11",54.3,40.6,60.5,5.6,30,0
"11,12",44.7,32.7,63.4,16.9,29.8,0
"11,13",29.5,9.2,43.8,16.2,30.3,0.02
"11,14",37.3,16.7,43.6,6.8,30.4,0
"11,15",45.3,21.7,39.9,8.3,30.2,0
"11,16",38.9,11.4,34.7,15.8,30.4,0
"11,17",38.3,23.1,55.3,19,30.3,0
"11,18",40.4,35.7,83.8,11.8,29.8,0.01
"11,19",44.1,36.9,76.8,6.8,29.7,0.62
"11,20",43.8,31.3,61.9,13.3,29.9,0
"11,21",46.5,30,53.4,7.6,30.1,0
"11,22",49,34.3,57.7,15.8,29.8,0
"11,23",41,20.8,44.9,9.8,29.9,0.07
"11,24",43.9,38.6,82.3,17.9,29.4,0.55
"11,25",46.9,33.1,59.1,8.8,29.8,0.19
"11,26",51.4,38.4,62.2,6.9,30,0
"11,27",53.2,45.6,75.8,9.3,29.8,0
"11,28",48.2,31.1,52.1,22.7,29.8,0.02
"11,29",36.8,22.7,57,14.7,30.2,0
"11,30",37.5,17.5,45.8,9.8,30,0
"12,01",34.9,26.9,74.5,18.4,29.8,0
"12,02",36.4,32.6,86.3,17.3,29.5,0.62
"12,03",33.7,25.6,72.8,18.7,29.5,0.34
"12,04",37.7,27.6,67.2,10.5,29.5,0
"12,05",39.9,26.4,60,15.7,29.7,0
"12,06",42.3,23.8,48.3,13.6,30,0
"12,07",36.3,18.3,48.5,14.8,30.3,0
"12,08",35.7,20.6,54.6,7.7,30.5,0
"12,09",47.3,43.7,87.5,8.2,30.1,0.17
"12,10",55.5,48.7,78.1,13.1,29.8,1.63
"12,11",35.7,28.6,77.2,10.8,30.2,0.43
"12,12",32.2,10.6,41.5,10.5,30.6,0.03
"12,13",41.6,36,80.9,11.7,30.3,0
"12,14",50.3,47.7,91.3,10.9,29.4,2.05
"12,15",44.6,26.5,49.9,20.7,29.7,0.09
"12,16",36.1,17.8,47.6,8.3,30.2,0
"12,17",34.3,29.5,82.7,13.6,29.9,0.5
"12,18",32.8,22.8,66.8,17.9,29.8,0.48
"12,19",22.5,8.6,55.7,20.6,30.3,0
"12,20",27.8,12.4,52.8,12,30.5,0
"12,21",29.6,17.7,61.2,5.4,30.6,0
"12,22",38.7,23.7,55.8,6.7,30.3,0
"12,23",47.2,26.4,46.5,6.7,30.1,0
"12,24",43.6,25.2,48.8,8.7,30.1,0
"12,25",37.4,24.7,60.7,6.1,30.2,0
"12,26",38.7,34.3,84.6,8.8,30.3,0
"12,27",49.9,40.8,71,8.7,30.2,0
"12,28",47.4,35.3,64.4,8.3,30.2,0
"12,29",40.9,32.3,72.4,8.1,30.1,0
"12,30",40.8,37.4,87.7,18.5,29.8,0.53
"12,31",40.6,34.5,79.2,9.3,29.7,0.25
